2016-05-26 21:56:00,609 [MainThread:6912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-05-26 21:56:18,354 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.006) CREATE TABLE `scan` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `id_Bundle` integer NULL); args=None
2016-05-26 21:56:18,358 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'scan'; args=[u'scan']
2016-05-26 21:56:18,364 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `scan_location` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `Location` longtext NULL, `amount` integer NULL); (params None)
2016-05-26 21:56:18,372 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.004) CREATE TABLE `scan_location` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `Location` longtext NULL, `amount` integer NULL); args=None
2016-05-26 21:56:18,377 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'scan_location'; args=[u'scan_location']
2016-05-26 21:56:18,392 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `scan` ADD COLUMN `id_Scan_Location` integer NULL; (params [])
2016-05-26 21:56:18,407 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.012) ALTER TABLE `scan` ADD COLUMN `id_Scan_Location` integer NULL; args=[]
2016-05-26 21:56:18,411 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `scan` ALTER COLUMN `id_Scan_Location` DROP DEFAULT; (params [])
2016-05-26 21:56:18,420 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.006) ALTER TABLE `scan` ALTER COLUMN `id_Scan_Location` DROP DEFAULT; args=[]
2016-05-26 21:56:18,434 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `comment` ADD COLUMN `id_Comment_Location` integer NULL; (params [])
2016-05-26 21:56:18,450 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) ALTER TABLE `comment` ADD COLUMN `id_Comment_Location` integer NULL; args=[]
2016-05-26 21:56:18,453 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `comment` ALTER COLUMN `id_Comment_Location` DROP DEFAULT; (params [])
2016-05-26 21:56:18,466 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.006) ALTER TABLE `comment` ALTER COLUMN `id_Comment_Location` DROP DEFAULT; args=[]
2016-05-26 21:56:18,469 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `bundle` ADD CONSTRAINT `bundle_id_User_15eb9866_fk_auth_user_id` FOREIGN KEY (`id_User`) REFERENCES `auth_user` (`id`); (params [])
2016-05-26 21:56:18,486 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) ALTER TABLE `bundle` ADD CONSTRAINT `bundle_id_User_15eb9866_fk_auth_user_id` FOREIGN KEY (`id_User`) REFERENCES `auth_user` (`id`); args=[]
2016-05-26 21:56:18,490 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `comment` ADD CONSTRAINT `comment_id_Bundle_63deb77b_fk_bundle_id` FOREIGN KEY (`id_Bundle`) REFERENCES `bundle` (`id`); (params [])
2016-05-26 21:56:18,516 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.022) ALTER TABLE `comment` ADD CONSTRAINT `comment_id_Bundle_63deb77b_fk_bundle_id` FOREIGN KEY (`id_Bundle`) REFERENCES `bundle` (`id`); args=[]
2016-05-26 21:56:18,520 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `scan` ADD CONSTRAINT `scan_id_Bundle_1fe6654c_fk_bundle_id` FOREIGN KEY (`id_Bundle`) REFERENCES `bundle` (`id`); (params [])
2016-05-26 21:56:18,536 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.011) ALTER TABLE `scan` ADD CONSTRAINT `scan_id_Bundle_1fe6654c_fk_bundle_id` FOREIGN KEY (`id_Bundle`) REFERENCES `bundle` (`id`); args=[]
2016-05-26 21:56:18,539 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE INDEX `scan_d23256ee` ON `scan` (`id_Scan_Location`); (params [])
2016-05-26 21:56:18,556 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.014) CREATE INDEX `scan_d23256ee` ON `scan` (`id_Scan_Location`); args=[]
2016-05-26 21:56:18,559 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `scan` ADD CONSTRAINT `scan_id_Scan_Location_6ebda9e8_fk_scan_location_id` FOREIGN KEY (`id_Scan_Location`) REFERENCES `scan_location` (`id`); (params [])
2016-05-26 21:56:18,576 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.012) ALTER TABLE `scan` ADD CONSTRAINT `scan_id_Scan_Location_6ebda9e8_fk_scan_location_id` FOREIGN KEY (`id_Scan_Location`) REFERENCES `scan_location` (`id`); args=[]
2016-05-26 21:56:18,581 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE INDEX `comment_8b6f26e9` ON `comment` (`id_Comment_Location`); (params [])
2016-05-26 21:56:18,598 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.014) CREATE INDEX `comment_8b6f26e9` ON `comment` (`id_Comment_Location`); args=[]
2016-05-26 21:56:18,601 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `comment` ADD CONSTRAINT `comment_id_Comment_Location_ed14357f_fk_comment_location_id` FOREIGN KEY (`id_Comment_Location`) REFERENCES `comment_location` (`id`); (params [])
2016-05-26 21:56:18,617 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.011) ALTER TABLE `comment` ADD CONSTRAINT `comment_id_Comment_Location_ed14357f_fk_comment_location_id` FOREIGN KEY (`id_Comment_Location`) REFERENCES `comment_location` (`id`); args=[]
2016-05-26 21:56:18,622 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-05-26 21:56:18,625 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('MyApp', '0001_initial', '2016-05-26 13:56:18'); args=['MyApp', u'0001_initial', u'2016-05-26 13:56:18']
2016-05-26 21:56:18,647 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `django_admin_log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `action_time` datetime NOT NULL, `object_id` longtext NULL, `object_repr` varchar(200) NOT NULL, `action_flag` smallint UNSIGNED NOT NULL, `change_message` longtext NOT NULL, `content_type_id` integer NULL, `user_id` integer NOT NULL); (params None)
2016-05-26 21:56:18,658 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.004) CREATE TABLE `django_admin_log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `action_time` datetime NOT NULL, `object_id` longtext NULL, `object_repr` varchar(200) NOT NULL, `action_flag` smallint UNSIGNED NOT NULL, `change_message` longtext NOT NULL, `content_type_id` integer NULL, `user_id` integer NOT NULL); args=None
2016-05-26 21:56:18,665 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=[u'django_admin_log']
2016-05-26 21:56:18,670 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin__content_type_id_c4bce8eb_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
2016-05-26 21:56:18,687 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin__content_type_id_c4bce8eb_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
2016-05-26 21:56:18,697 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_user_id_c564eba6_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2016-05-26 21:56:18,713 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.012) ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_user_id_c564eba6_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2016-05-26 21:56:18,720 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-05-26 21:56:18,723 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('admin', '0001_initial', '2016-05-26 13:56:18'); args=['admin', u'0001_initial', u'2016-05-26 13:56:18']
2016-05-26 21:56:18,746 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `django_admin_log` ALTER COLUMN `action_time` SET DEFAULT %s; (params [u'2016-05-26 13:56:18'])
2016-05-26 21:56:18,756 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.007) ALTER TABLE `django_admin_log` ALTER COLUMN `action_time` SET DEFAULT '2016-05-26 13:56:18'; args=[u'2016-05-26 13:56:18']
2016-05-26 21:56:18,757 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `django_admin_log` ALTER COLUMN `action_time` DROP DEFAULT; (params [])
2016-05-26 21:56:18,767 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.006) ALTER TABLE `django_admin_log` ALTER COLUMN `action_time` DROP DEFAULT; args=[]
2016-05-26 21:56:18,772 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-05-26 21:56:18,775 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('admin', '0002_logentry_remove_auto_add', '2016-05-26 13:56:18'); args=['admin', u'0002_logentry_remove_auto_add', u'2016-05-26 13:56:18']
